Namespace(dataset='syn1', hidden=20, n_layers=3, dropout=0.0, seed=42, num_epochs=500, device='cpu')
y_true counts: (array([0, 1, 2, 3]), array([300, 160, 160,  80]))
y_pred_orig counts: (array([0, 1, 2, 3]), array([300, 166, 144,  90]))
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 190.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 154.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 154.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 152.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 179.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 145.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 151.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 154.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 186.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 152.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 152.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 177.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 143.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 175.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 175.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 151.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 144.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 139.0
best loss: 139.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 141.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 175.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 139.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 175.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 180.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 141.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 184.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 176.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 150.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 0, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 150.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 147.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 179.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 180.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 189.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 177.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 148.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 176.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 181.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 179.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 161.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 187.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 156.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 177.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 157.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 154.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 175.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 165.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 178.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 186.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 150.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 176.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 179.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 153.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 173.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 155.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 145.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 159.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 151.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 176.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 166.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 3, graph loss: 169.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 180.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 162.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 152.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 151.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 163.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 172.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 174.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 171.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 170.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 164.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 158.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 185.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 182.0
Node idx: 563, original pred: 2, cf pred: 2, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 168.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 160.0
Node idx: 563, original pred: 2, cf pred: 1, graph loss: 167.0
