Namespace(dataset='syn5', hidden=20, n_layers=3, dropout=0.0, seed=42, num_epochs=500, device='cpu')
y_true counts: (array([0, 1]), array([511, 720]))
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 3.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 3.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 3.0
best loss: 3.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 3.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 4.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 14.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 13.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 3.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 12.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 11.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 6.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 7.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 8.0
Node idx: 617, original pred: 1, cf pred: 0, graph loss: 10.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 9.0
Node idx: 617, original pred: 1, cf pred: 1, graph loss: 5.0
